Member State,Code,Adolescent birth rate (per 1000 women aged 15-19 years),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Average death rate due to natural disasters (per 100 000 population),Average of 13 International Health Regulations core capacity scores,Estimated direct deaths from major conflicts (per 100 000 population),Healthy life expectancy at birth (years),Infants receiving three doses of hepatitis B vaccine (%),Life expectancy at birth (years),Malaria incidence (per 1000 population at risk),Maternal mortality ratio (per 100 000 live births),Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Mortality rate attributed to household and ambient air pollution (per 100 000 population),Mortality rate due to homicide (per 100 000 population),Mortality rate from unintentional poisoning (per 100 000 population),Neonatal mortality rate (per 1000 live births),New HIV infections among adults 15-49 years old (per 1000 uninfected population),Prevalence of overweight in children under 5 (%),Prevalence of stunting in children under 5 (%),Prevalence of wasting in children under 5 (%),"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70 (%)",Proportion of births attended by skilled health personnel (%),Proportion of married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),Proportion of population using improved drinking-water sources (%),Proportion of population using improved sanitation (%),Proportion of population with primary reliance on clean fuels (%),Reported number of people requiring interventions against NTDs,Road traffic mortality rate (per 100 000 population),Skilled health professionals density (per 10 000 population),Suicide mortality rate (per 100 000 population),TB incidence (per 100 000 population),"Total alcohol per capita (15 years of age) consumption, in litres of pure alcohol, projected estimates",Total population (000s),Under-five mortality rate (per 1000 live births)
Afghanistan,AFG,51.9,64.1,0.8,45,40.9,52.2,75,60.5,15.7,1360,34.6,112.6,7.3,7.4,35.5,0.1,5.4,40.9,9.5,30.5,45,_,55,32,17,7044670,15.5,7.7,4,189,1,15603,91.1
Albania,ALB,19.7,17.1,0,_,0.1,68.8,98,77.8,_,29,0.2,171.4,5,1.4,6.2,_,23.4,23.1,9.4,18.8,99,12.9,95,93,67,42,15.1,49.9,6.5,19,6.6,2897,14
Algeria,DZA,12.4,26,0.1,73,1,66,95,75.6,0.1,140,2.4,31.5,4.4,1.1,15.5,0.1,12.4,11.7,4.1,22.1,97,77.2,84,88,95,_,23.8,31.5,1.8,78,0.6,39667,25.5
Andorra,AND,4.4,10.5,_,29,_,_,96,_,_,_,_,_,0.8,_,1.4,_,_,_,_,_,_,_,100,100,95,0,7.6,87.6,_,9.2,9.1,70,2.8
Angola,AGO,190.9,42.8,0.1,18,0,45.8,80,52.4,145.7,477,111.2,104.4,10.7,5.5,48.7,2.1,_,29.2,8.2,24.2,47,_,49,52,48,17668111,26.9,18.3,10.6,370,7.6,25022,156.9
Antigua and Barbuda,ATG,_,15,0,88,_,67.5,99,76.4,_,_,_,_,4.4,_,4.9,_,_,_,_,_,100,_,98,_,95,1395,6.7,_,_,7.6,3.2,92,8.1
Argentina,ARG,68.1,14.5,0.1,83,0,67.6,94,76.3,0,52,0.7,26.2,6,0.9,6.3,0.3,9.9,8.2,1.2,17.5,100,_,99,96,95,3948,13.6,43.4,10.8,24,7.6,43417,12.5
Armenia,ARM,22.7,25.1,0,96,0,66.8,93,74.8,0,25,1.1,125.4,2.1,0.4,7.4,0.2,16.8,20.8,4.2,29.7,100,39.2,100,90,95,38929,18.3,75.3,3.3,45,5.5,3018,14.1
Australia,AUS,14.2,5.8,0.1,100,0.1,71.9,91,82.8,_,6,0.1,0.4,1.1,1.3,2.2,_,7.7,2,0,9.4,99,_,100,100,95,18843,5.4,139.2,11.6,6.4,12.6,23969,3.8
Austria,AUT,7.9,17.2,0.1,87,0.1,72,83,81.5,_,4,0.1,34.2,0.9,0.4,2.1,_,_,_,_,12,99,_,100,100,95,14,5.4,_,15.6,7.8,8.5,8545,3.5
Azerbaijan,AZE,47.2,26.4,0,84,0.3,64.7,94,72.7,0,25,2.1,68,2.4,0.9,18.2,0.2,13,18,3.1,23.3,97,21.5,87,89,95,1678393,10,99.4,1.7,77,2.1,9754,31.7
Bahamas,BHS,34.6,22,0,61,0,66.6,96,76.1,_,80,0.1,20.3,32.1,0.9,6.9,_,_,_,_,13.8,98,_,98,92,95,146,13.8,69.6,2.3,12,4.2,388,12.1
Bahrain,BHR,13.8,60.1,0,96,2,67,99,76.9,_,15,0.1,11.1,0.8,0.4,1.1,_,_,_,_,13.3,100,_,100,99,95,8,8,32.9,7.2,14,2.4,1377,6.2
Bangladesh,BGD,113,89.7,0.1,88,0.1,62.3,95,71.8,68.7,176,6,68.2,3.1,5.7,23.3,0.1,1.4,36.1,14.3,17.5,42,72.5,87,61,10,49873889,13.6,5.7,6.6,227,0.2,160996,37.6
Barbados,BRB,49.7,16.2,0,90,0,66.6,94,75.5,_,27,0.2,18.1,9.8,0.8,8,_,12.2,7.7,6.8,13.8,99,70,100,96,95,2689,6.7,66.7,2.6,0.9,6.5,284,13
Belarus,BLR,21.6,18.1,0,90,0.1,65.1,97,72.3,_,4,0.2,103.8,6.2,4.4,1.9,0.6,9.7,4.5,2.2,26.2,100,74.2,100,94,95,_,13.7,145.6,21.8,58,17.1,9496,4.6
Belgium,BEL,7.2,16,0.1,82,0.1,71.1,98,81.1,_,7,0.5,30.2,1.1,1.1,2.2,_,_,_,_,12.2,_,_,100,100,95,15,6.7,216.5,17.8,9,10.8,11299,4.1
Belize,BLZ,64,20.7,0,55,0,62.3,95,70.1,0.2,28,1.2,18.6,44.7,0.5,8.3,0.5,7.9,19.3,3.3,14.4,95,73.1,100,91,87,12254,24.4,27.9,2.2,37,8.3,359,16.5
Benin,BEN,94,27.9,0.1,44,0,52.5,70,60,303,405,32.2,92,6.3,2.2,31.8,0.6,1.7,34,4.5,22.1,77,24.5,78,20,7,4358651,27.7,8.3,3.7,61,2.2,10880,99.5
Bhutan,BTN,28.4,39,0,68,0,61.2,99,69.8,0.1,148,7.1,59.9,1.9,8.1,18.3,_,7.6,33.6,5.9,20.5,75,84.6,100,50,68,107867,15.1,12.4,16,164,1.1,775,32.9
Bolivia (Plurinational State of),BOL,115.6,31.9,0.5,71,0,62.2,94,70.7,5.1,206,7,52,13.9,1.7,19.6,0.2,8.7,18.1,1.6,18.3,85,42.8,90,50,79,2129328,23.2,14.8,11.7,120,5.8,10725,38.4
Bosnia and Herzegovina,BIH,11,56,0.1,55,0.1,68.6,89,77.4,_,11,0.1,223.6,3.4,7.5,4,_,17.4,8.9,2.3,17.5,100,21.9,100,95,40,_,17.7,75.3,13.9,42,7.5,3810,5.4
